time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
79.0,203.0,275.0,197.7,115.7,130.0,138.3,321.0,313.7,252.0
80.0,206.0,278.0,200.0,116.7,131.7,139.7,324.7,317.0,255.0
81.0,209.0,281.3,202.0,118.0,133.0,141.7,328.0,320.3,258.0
82.0,211.0,284.3,204.0,120.0,135.0,143.0,331.3,323.7,261.0
83.0,213.0,287.3,206.3,120.7,136.3,144.7,335.0,327.3,264.0
84.0,215.0,290.3,208.7,122.3,137.7,146.3,338.7,330.7,267.0
85.0,217.0,293.7,211.0,123.7,139.7,148.0,341.7,333.7,269.0
86.0,219.0,296.3,212.7,125.3,141.3,150.0,345.3,337.3,272.0
87.0,222.0,299.7,215.7,126.3,142.7,151.7,349.0,340.7,275.0
88.0,224.0,302.7,217.3,128.3,144.0,153.0,352.7,344.0,278.0
89.0,226.0,305.7,219.7,129.7,145.7,154.7,356.0,347.0,281.0
90.0,228.0,308.7,222.0,130.7,147.3,156.3,359.3,350.3,284.0
91.0,231.0,312.0,224.0,132.3,148.7,158.0,362.7,353.7,286.0
92.0,233.0,314.7,226.3,133.7,150.3,159.7,366.0,357.0,290.0
93.0,235.0,317.7,228.3,135.0,152.0,161.0,369.0,360.3,292.0
94.0,237.0,321.0,230.7,136.3,153.7,162.7,372.3,363.3,295.0
95.0,240.0,323.7,232.7,138.0,155.0,164.3,376.0,366.7,298.0
96.0,242.0,326.3,235.0,139.0,156.7,166.0,379.3,370.0,300.0
97.0,244.0,329.7,237.0,141.0,158.3,167.7,382.3,373.0,303.0
98.0,246.0,332.3,239.3,142.3,159.7,169.3,385.7,376.0,306.0
99.0,249.0,335.3,241.7,143.3,161.0,170.7,389.3,379.3,309.0
100.0,251.0,338.7,243.3,145.0,162.7,172.7,392.3,382.0,312.0
101.0,253.0,341.3,245.7,146.3,164.3,174.0,395.7,385.7,315.0
102.0,255.0,344.7,248.0,147.7,166.0,175.7,399.0,388.7,317.0
103.0,258.0,347.0,250.3,148.7,167.3,177.3,402.3,391.7,320.0
104.0,259.0,350.0,252.3,150.7,169.0,178.7,405.7,395.0,323.0
105.0,262.0,352.7,254.3,151.7,170.3,180.3,408.7,397.7,325.0
106.0,264.0,356.0,256.7,153.3,171.7,182.0,411.7,401.0,328.0
107.0,266.0,359.0,258.3,155.0,173.0,183.7,415.0,404.0,331.0
108.0,268.0,361.3,260.3,156.0,174.7,185.0,418.0,406.7,333.0
109.0,270.0,364.3,262.7,157.0,176.7,187.0,421.3,410.0,337.0
110.0,272.0,367.0,264.7,159.0,178.0,188.3,424.7,413.3,340.0
111.0,274.0,370.3,267.0,160.3,179.3,190.3,427.7,416.0,342.0
112.0,277.0,372.7,268.7,161.3,180.7,191.7,431.0,419.3,344.0
113.0,279.0,375.7,271.0,163.3,182.3,193.0,433.7,422.0,347.0
114.0,281.0,378.3,273.3,164.3,183.7,194.7,437.0,425.0,350.0
115.0,283.0,381.0,275.3,165.7,185.7,196.3,439.7,428.3,353.0
116.0,285.0,383.7,277.3,167.0,187.0,198.0,443.3,430.7,355.0
117.0,287.0,387.0,279.3,168.7,188.3,199.3,446.0,434.3,358.0
118.0,289.0,390.0,281.7,169.7,190.0,201.3,449.0,436.7,361.0
119.0,291.0,392.3,283.3,171.0,191.7,202.7,452.3,439.7,364.0
