Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
337,6360,6301.7,6231.7,4400,4705,5363.3,9171.7,8055,6970,
338,6368.3,6310,6241.7,4408.3,4715,5373.3,9180,8060,6980,
339,6376.7,6320,6250,4416.7,4723.3,5383.3,9186.7,8070,6990,
340,6386.7,6330,6260,4425,4731.7,5390,9193.3,8080,7000,
341,6396.7,6338.3,6266.7,4435,4740,5398.3,9201.7,8090,7010,
342,6405,6346.7,6276.7,4443.3,4750,5408.3,9208.3,8100,7020,
343,6415,6355,6285,4450,4758.3,5418.3,9215,8110,7030,
344,6423.3,6363.3,6295,4460,4765,5428.3,9223.3,8120,7040,
345,6431.7,6373.3,6300,4466.7,4775,5433.3,9230,8125,7050,
346,6441.7,6381.7,6310,4475,4783.3,5443.3,9235,8135,7060,
347,6451.7,6390,6320,4483.3,4791.7,5453.3,9243.3,8145,7065,
348,6458.3,6398.3,6325,4491.7,4800,5461.7,9248.3,8155,7075,
349,6468.3,6408.3,6335,4501.7,4808.3,5470,9256.7,8160,7085,
350,6478.3,6416.7,6345,4508.3,4816.7,5478.3,9263.3,8170,7095,
351,6485,6423.3,6351.7,4516.7,4825,5485,9270,8180,7105,
352,6495,6433.3,6360,4525,4833.3,5495,9276.7,8190,7115,
353,6503.3,6443.3,6370,4531.7,4841.7,5505,9285,8200,7125,
354,6513.3,6450,6376.7,4541.7,4850,5510,9288.3,8205,7135,
355,6521.7,6458.3,6385,4550,4860,5520,9296.7,8215,7145,
356,6530,6468.3,6395,4556.7,4866.7,5530,9301.7,8225,7150,
357,6538.3,6475,6400,4565,4875,5536.7,9310,8230,7160,
358,6546.7,6485,6410,4573.3,4885,5545,9315,8240,7170,
359,6556.7,6491.7,6418.3,4581.7,4890,5555,9321.7,8250,7180,
360,6565,6500,6425,4588.3,4900,5563.3,9326.7,8260,7190,
361,6573.3,6510,6435,4598.3,4910,5570,9333.3,8265,7200,
362,6581.7,6516.7,6443.3,4605,4916.7,5578.3,9340,8275,7205,
363,6590,6525,6450,4613.3,4925,5588.3,9345,8285,7215,
364,6600,6535,6458.3,4621.7,4933.3,5595,9350,8290,7225,
365,6606.7,6541.7,6465,4628.3,4941.7,5603.3,9356.7,8300,7235,
366,6615,6550,6475,4636.7,4950,5611.7,9361.7,8310,7245,
367,6625,6556.7,6483.3,4645,4956.7,5618.3,9368.3,8315,7250,
368,6633.3,6566.7,6490,4651.7,4966.7,5628.3,9373.3,8325,7260,
369,6641.7,6573.3,6498.3,4661.7,4971.7,5636.7,9378.3,8330,7270,
370,6648.3,6581.7,6505,4668.3,4981.7,5645,9381.7,8340,7280,
371,6658.3,6590,6513.3,4676.7,4991.7,5651.7,9386.7,8350,7285,
372,6666.7,6598.3,6521.7,4683.3,4996.7,5660,9393.3,8355,7295,
373,6675,6606.7,6528.3,4691.7,5006.7,5668.3,9396.7,8365,7305,
374,6681.7,6613.3,6538.3,4698.3,5013.3,5675,9403.3,8375,7315,
375,6691.7,6621.7,6543.3,4708.3,5021.7,5685,9406.7,8380,7320,
376,6698.3,6630,6553.3,4715,5030,5691.7,9410,8390,7330,
377,6706.7,6638.3,6558.3,4723.3,5038.3,5700,9415,8395,7340,
378,6715,6645,6568.3,4731.7,5045,5710,9420,8405,7345,
379,6723.3,6653.3,6573.3,4738.3,5053.3,5715,9423.3,8410,7355,
380,6731.7,6660,6583.3,4748.3,5061.7,5725,9428.3,8420,7365,
381,6738.3,6668.3,6588.3,4753.3,5068.3,5733.3,9431.7,8425,7375,
382,6748.3,6675,6598.3,4763.3,5078.3,5740,9435,8435,7380,
383,6755,6685,6603.3,4768.3,5083.3,5748.3,9441.7,8440,7390,
384,6763.3,6691.7,6613.3,4778.3,5093.3,5755,9445,8450,7395,
385,6771.7,6700,6618.3,4785,5100,5763.3,9448.3,8455,7405,
386,6776.7,6706.7,6628.3,4791.7,5108.3,5771.7,9451.7,8465,7415,
387,6786.7,6715,6633.3,4800,5116.7,5778.3,9456.7,8470,7425,
388,6795,6721.7,6643.3,4806.7,5123.3,5788.3,9460,8480,7430,
389,6801.7,6728.3,6648.3,4815,5131.7,5793.3,9465,8485,7440,
390,6810,6736.7,6656.7,4820,5138.3,5803.3,9468.3,8495,7445,
391,6818.3,6743.3,6663.3,4830,5146.7,5810,9473.3,8500,7455,
392,6825,6751.7,6670,4838.3,5155,5818.3,9476.7,8510,7465,
393,6833.3,6758.3,6678.3,4845,5161.7,5825,9480,8515,7470,
394,6841.7,6766.7,6685,4851.7,5170,5833.3,9481.7,8525,7480,
395,6848.3,6773.3,6693.3,4860,5176.7,5840,9370,8530,7485,
396,6856.7,6780,6700,4866.7,5185,5846.7,9375,8540,7495,
397,6863.3,6788.3,6706.7,4873.3,5191.7,5855,9380,8545,7505,
398,6871.7,6795,6715,4881.7,5200,5861.7,9385,8550,7510,
399,6878.3,6803.3,6720,4888.3,5208.3,5870,9390,8560,7520,
400,6886.7,6810,6728.3,4896.7,5215,5878.3,9395,8565,7525,
401,6895,6816.7,6735,4903.3,5223.3,5885,9402.5,8575,7535,
402,6900,6825,6741.7,4911.7,5228.3,5893.3,9407.5,8580,7540,
403,6910,6831.7,6750,4918.3,5238.3,5898.3,9412.5,8585,7550,
404,6915,6840,6755,4925,5243.3,5908.3,9420,8595,7555,
405,6923.3,6845,6761.7,4933.3,5253.3,5913.3,9422.5,8600,7565,
406,6930,6853.3,6770,4940,5258.3,5923.3,9427.5,8610,7570,
407,6938.3,6860,6776.7,4946.7,5268.3,5928.3,9432.5,8615,7580,
408,6946.7,6866.7,6783.3,4955,5273.3,5936.7,9437.5,8620,7585,
409,6951.7,6873.3,6790,4960,5283.3,5943.3,9442.5,8630,7595,
410,6961.7,6881.7,6796.7,4970,5288.3,5951.7,9447.5,8635,7600,
411,6966.7,6888.3,6803.3,4975,5296.7,5958.3,9455,8640,7610,
412,6975,6893.3,6810,4985,5303.3,5965,9460,8650,7620,
413,6980,6901.7,6816.7,4990,5311.7,5971.7,9465,8655,7625,
414,6990,6908.3,6823.3,4996.7,5318.3,5980,9470,8660,7635,
415,6996.7,6915,6830,5005,5326.7,5986.7,9475,8670,7640,
416,7003.3,6923.3,6838.3,5011.7,5333.3,5995,9480,8675,7645,
417,7011.7,6930,6843.3,5020,5340,6001.7,9485,8680,7655,
418,7018.3,6935,6850,5026.7,5346.7,6008.3,9490,8685,7660,
419,7025,6943.3,6858.3,5033.3,5355,6015,9495,8695,7670,
420,7031.7,6950,6863.3,5040,5361.7,6023.3,9500,8700,7675,
421,7038.3,6956.7,6870,5046.7,5370,6028.3,9502.5,8705,7685,
422,7046.7,6961.7,6878.3,5053.3,5376.7,6036.7,9507.5,8715,7690,
423,7053.3,6970,6883.3,5061.7,5385,6043.3,9512.5,8720,7695,
424,7060,6976.7,6888.3,5066.7,5390,6048.3,9517.5,8725,7705,
425,7066.7,6981.7,6898.3,5075,5398.3,6058.3,9522.5,8730,7710,
426,7073.3,6990,6903.3,5081.7,5405,6063.3,9527.5,8740,7720,
427,7081.7,6996.7,6908.3,5088.3,5413.3,6071.7,9530,8745,7725,
428,7088.3,7001.7,6913.3,5096.7,5418.3,6078.3,9535,8750,7730,
429,7093.3,7008.3,6923.3,5101.7,5428.3,6085,9540,8755,7740,
430,7101.7,7016.7,6928.3,5110,5433.3,6091.7,9545,8760,7745,
431,7106.7,7021.7,6933.3,5115,5441.7,6100,9547.5,8770,7755,
432,7113.3,7028.3,6941.7,5125,5448.3,6106.7,9552.5,8775,7760,
433,7121.7,7035,6948.3,5130,5453.3,6111.7,9555,8780,7770,
434,7128.3,7041.7,6953.3,5135,5463.3,6118.3,9560,8785,7775,
435,7135,7048.3,6958.3,5145,5468.3,6126.7,9565,8795,7780,
436,7141.7,7055,6966.7,5150,5476.7,6131.7,9570,8800,7790,
437,7148.3,7060,6973.3,5156.7,5483.3,6140,9572.5,8805,7795,
438,7153.3,7066.7,6978.3,5165,5490,6146.7,9577.5,8810,7800,
439,7163.3,7073.3,6985,5170,5496.7,6153.3,9582.5,8815,7805,
440,7168.3,7080,6990,5178.3,5503.3,6160,9585,8820,7815,
441,7175,7086.7,6998.3,5185,5510,6165,9587.5,8830,7820,
442,7181.7,7091.7,7003.3,5191.7,5515,6173.3,9592.5,8835,7830,
443,7186.7,7098.3,7008.3,5198.3,5525,6180,9597.5,8840,7835,
444,7193.3,7105,7015,5205,5530,6186.7,9602.5,8845,7840,
445,7200,7111.7,7021.7,5211.7,5538.3,6193.3,9605,8850,7850,
446,7206.7,7116.7,7028.3,5218.3,5545,6200,9610,8855,7855,
447,7213.3,7123.3,7033.3,5223.3,5550,6206.7,9612.5,8860,7860,
448,7220,7128.3,7040,5231.7,5560,6211.7,9615,8870,7865,
449,7226.7,7135,7045,5238.3,5565,6220,9620,8875,7875,
450,7233.3,7141.7,7051.7,5245,5570,6226.7,9625,8880,7880,
451,7240,7148.3,7056.7,5251.7,5580,6231.7,9627.5,8885,7885,
452,7245,7153.3,7061.7,5258.3,5585,6236.7,9630,8890,7890,
453,7251.7,7160,7070,5265,5590,6245,9635,8895,7900,
454,7258.3,7165,7075,5270,5600,6251.7,9637.5,8900,7905,
455,7263.3,7171.7,7080,5276.7,5605,6256.7,9642.5,8905,7910,
456,7270,7178.3,7086.7,5285,5610,6265,9647.5,8910,7915,
457,7276.7,7183.3,7093.3,5290,5618.3,6270,9647.5,8915,7925,
458,7281.7,7190,7098.3,5295,5625,6275,9652.5,8925,7930,
459,7288.3,7195,7105,5305,5633.3,6285,9657.5,8930,7935,
460,7295,7201.7,7110,5310,5638.3,6290,9660,8935,7940,
461,7300,7206.7,7115,5315,5645,6295,9662.5,8940,7950,
462,7306.7,7213.3,7121.7,5323.3,5651.7,6301.7,9665,8945,7955,
463,7313.3,7218.3,7128.3,5330,5658.3,6308.3,9670,8950,7960,
464,7318.3,7225,7133.3,5335,5663.3,6315,9670,8955,7965,
465,7325,7231.7,7138.3,5343.3,5671.7,6321.7,9675,8960,7975,
466,7331.7,7236.7,7143.3,5348.3,5678.3,6328.3,9677.5,8965,7980,
467,7336.7,7241.7,7148.3,5355,5683.3,6333.3,9682.5,8970,7985,
468,7343.3,7248.3,7155,5361.7,5691.7,6340,9682.5,8975,7990,
469,7350,7253.3,7160,5368.3,5698.3,6346.7,9687.5,8980,7995,
470,7355,7258.3,7166.7,5373.3,5703.3,6353.3,9690,8985,8005,
471,7361.7,7265,7173.3,5380,5710,6358.3,9690,8990,8010,
472,7366.7,7270,7178.3,5386.7,5716.7,6365,9695,8995,8015,
473,7373.3,7275,7183.3,5393.3,5723.3,6370,9697.5,9000,8020,
474,7378.3,7281.7,7188.3,5398.3,5728.3,6376.7,9697.5,9005,8025,
475,7385,7286.7,7193.3,5406.7,5735,6383.3,9700,9010,8030,
476,7391.7,7293.3,7198.3,5411.7,5743.3,6390,9702.5,9015,8040,
477,7396.7,7300,7203.3,5418.3,5750,6395,9702.5,9020,8045,
478,7401.7,7305,7211.7,5423.3,5755,6401.7,9705,9025,8050,
479,7408.3,7310,7216.7,5430,5760,6408.3,9707.5,9030,8055,
480,7415,7315,7221.7,5438.3,5768.3,6413.3,9707.5,9035,8060,
481,7420,7321.7,7226.7,5443.3,5775,6418.3,9710,9040,8065,
482,7425,7326.7,7233.3,5448.3,5780,6423.3,9712.5,9045,8070,
483,7431.7,7331.7,7238.3,5455,5785,6433.3,9712.5,9050,8075,
484,7438.3,7336.7,7243.3,5461.7,5793.3,6438.3,9715,9055,8085,
485,7443.3,7343.3,7248.3,5466.7,5800,6443.3,9715,9060,8090,
486,7448.3,7348.3,7253.3,5475,5805,6448.3,9717.5,9065,8095,
487,7455,7353.3,7258.3,5480,5811.7,6455,9720,9070,8100,
488,7461.7,7358.3,7265,5485,5818.3,6461.7,9720,9075,8105,
489,7466.7,7363.3,7270,5491.7,5825,6466.7,9722.5,9080,8110,
490,7471.7,7370,7275,5498.3,5830,6471.7,9722.5,9085,8115,
491,7476.7,7375,7280,5503.3,5836.7,6476.7,9725,9085,8120,
492,7481.7,7380,7285,5510,5843.3,6483.3,9725,9090,8125,
493,7488.3,7385,7290,5516.7,5848.3,6488.3,9727.5,9095,8135,
494,7493.3,7390,7295,5521.7,5855,6496.7,9727.5,9100,8140,
495,7498.3,7396.7,7300,5528.3,5860,6501.7,9730,9105,8145,
496,7503.3,7400,7305,5533.3,5868.3,6508.3,9730,9110,8150,
497,7510,7406.7,7310,5540,5873.3,6513.3,9732.5,9115,8155,
498,7516.7,7411.7,7315,5546.7,5878.3,6518.3,9732.5,9120,8160,
499,7521.7,7416.7,7320,5553.3,5885,6523.3,9735,9125,8165,
500,7526.7,7421.7,7325,5558.3,5893.3,6530,9735,9125,8170,
501,7530,7426.7,7330,5563.3,5898.3,6536.7,9735,9130,8175,
502,7535,7431.7,7335,5570,5903.3,6541.7,9737.5,9135,8180,
503,7543.3,7436.7,7340,5576.7,5908.3,6546.7,9737.5,9140,8185,
504,7548.3,7443.3,7345,5583.3,5916.7,6551.7,9737.5,9145,8190,
505,7553.3,7448.3,7350,5588.3,5923.3,6556.7,9737.5,9150,8195,
506,7558.3,7453.3,7355,5593.3,5928.3,6565,9737.5,9155,8200,
507,7563.3,7458.3,7360,5600,5933.3,6570,9737.5,9160,8205,
508,7566.7,7463.3,7365,5606.7,5940,6576.7,9740,9160,8210,
509,7575,7468.3,7370,5611.7,5945,6581.7,9740,9165,8215,
510,7580,7473.3,7375,5616.7,5953.3,6586.7,9740,9170,8220,
511,7585,7476.7,7380,5621.7,5958.3,6591.7,9740,9175,8225,
512,7590,7481.7,7385,5628.3,5963.3,6600,9740,9180,8230,
513,7595,7486.7,7390,5635,5968.3,6605,9740,9185,8235,
514,7600,7491.7,7395,5641.7,5975,6610,9740,9190,8240,
515,7603.3,7496.7,7400,5646.7,5980,6615,9740,9190,8245,
516,7610,7501.7,7405,5651.7,5988.3,6620,9740,9195,8250,
517,7616.7,7506.7,7410,5656.7,5993.3,6625,9740,9200,8255,
518,7621.7,7511.7,7415,5663.3,6000,6631.7,9740,9205,8260,
519,7626.7,7516.7,7420,5668.3,6005,6636.7,9740,9210,8265,
520,7630,7521.7,7421.7,5675,6010,6641.7,9740,9210,8270,
521,7635,7526.7,7426.7,5681.7,6016.7,6648.3,9740,9215,8275,
522,7640,7531.7,7431.7,5686.7,6021.7,6653.3,9740,9220,8280,
523,7645,7536.7,7436.7,5691.7,6028.3,6658.3,9737.5,9225,8285,
524,7651.7,7540,7441.7,5696.7,6035,6663.3,,9230,8290,
525,7656.7,7545,7446.7,5703.3,6040,6668.3,,9230,8295,
526,7661.7,7550,7451.7,5710,6045,6675,,9235,8300,
527,7666.7,7555,7456.7,5715,6051.7,6680,,9240,8305,
528,7671.7,7560,7461.7,5720,6056.7,6685,,9245,8310,
529,7676.7,7565,7466.7,5725,6061.7,6690,,9245,8315,
530,7680,7570,7471.7,5730,6070,6695,,9250,8320,
531,7685,7575,7476.7,5736.7,6075,6700,,9255,8325,
532,7690,7578.3,7478.3,5743.3,6080,6706.7,,9260,8330,
533,7695,7583.3,7483.3,5750,6086.7,6711.7,,9265,8330,
534,7700,7586.7,7488.3,5755,6091.7,6716.7,,9265,8335,
535,7705,7591.7,7493.3,5760,6096.7,6723.3,,9270,8340,
536,7710,7596.7,7496.7,5765,6101.7,6728.3,,9275,8345,
537,7715,7601.7,7501.7,5770,6108.3,6733.3,,9280,8350,
538,7720,7606.7,7506.7,5776.7,6113.3,6736.7,,9280,8355,
539,7723.3,7608.3,7511.7,5781.7,6118.3,6741.7,,9285,8360,
540,7728.3,7613.3,7516.7,5788.3,6125,6746.7,,9290,8365,
541,7733.3,7618.3,7521.7,5793.3,6131.7,6751.7,,9295,8370,
542,7738.3,7623.3,7523.3,5798.3,6136.7,6756.7,,9295,8375,
543,7741.7,7628.3,7528.3,5803.3,6141.7,6761.7,,9300,8375,
544,7746.7,7633.3,7533.3,5808.3,6148.3,6766.7,,9305,8380,
545,7751.7,7638.3,7538.3,5813.3,6153.3,6771.7,,9310,8385,
546,7756.7,7641.7,7543.3,5818.3,6158.3,6776.7,,9310,8390,
547,7761.7,7645,7546.7,5825,6163.3,6783.3,,9315,8395,
548,7765,7650,7550,5830,6168.3,6788.3,,9320,8400,
549,7771.7,7655,7553.3,5836.7,6175,6793.3,,9320,8405,
550,7775,7660,7558.3,5841.7,6180,6798.3,,9325,8410,
551,7780,7663.3,7563.3,5848.3,6185,6803.3,,9330,8410,
552,7785,7666.7,7568.3,5853.3,6191.7,6810,,9330,8415,
553,7790,7671.7,7573.3,5858.3,6198.3,6811.7,,9335,8420,
554,7793.3,7676.7,7578.3,5863.3,6203.3,6818.3,,9340,8425,
555,7798.3,7681.7,7580,5868.3,6208.3,6823.3,,9340,8430,
556,7803.3,7686.7,7583.3,5873.3,6213.3,6828.3,,9345,8435,
557,7808.3,7688.3,7588.3,5878.3,6218.3,6833.3,,9350,8435,
558,7811.7,7693.3,7593.3,5885,6223.3,6838.3,,9350,8440,
559,7816.7,7698.3,7598.3,5890,6230,6843.3,,9355,8445,
560,7820,7701.7,7601.7,5895,6235,6848.3,,9360,8450,
561,7823.3,7706.7,7605,5900,6240,6853.3,,9360,8455,
562,7828.3,7710,7610,5906.7,6245,6858.3,,9365,8460,
563,7833.3,7715,7613.3,5911.7,6251.7,6863.3,,9370,8460,
564,7836.7,7720,7618.3,5916.7,6256.7,6866.7,,9375,8465,
565,7841.7,7723.3,7623.3,5921.7,6261.7,6871.7,,9375,8470,
566,7846.7,7728.3,7626.7,5926.7,6266.7,6876.7,,9380,8475,
567,7850,7731.7,7630,5931.7,6271.7,6881.7,,9380,8480,
568,7855,7735,7635,5936.7,6276.7,6886.7,,9385,8485,
569,7860,7740,7640,5941.7,6281.7,6891.7,,9390,8485,
570,7865,7745,7643.3,5946.7,6286.7,6896.7,,9390,8490,
571,7868.3,7748.3,7646.7,5953.3,6293.3,6901.7,,9395,8495,
572,7873.3,7751.7,7650,5958.3,6298.3,6906.7,,9400,8500,
573,7878.3,7756.7,7655,5963.3,6303.3,6910,,9400,8500,
574,7881.7,7760,7660,5968.3,6310,6915,,9405,8505,
575,7886.7,7765,7665,5973.3,6313.3,6920,,9405,8510,
576,7890,7768.3,7666.7,5978.3,6321.7,6923.3,,9410,8515,
577,7895,7773.3,7670,5983.3,6325,6928.3,,9415,8515,
578,7900,7776.7,7675,5988.3,6330,6931.7,,9415,8520,
579,7903.3,7781.7,7680,5993.3,6336.7,6936.7,,9420,8525,
580,7906.7,7783.3,7683.3,5998.3,6341.7,6941.7,,9425,8530,
581,7911.7,7788.3,7685,6003.3,6346.7,6946.7,,9425,8530,
582,7915,7793.3,7690,6008.3,6351.7,6951.7,,9430,8535,
583,7920,7796.7,7695,6013.3,6356.7,6956.7,,9430,8540,
584,7925,7800,7698.3,6018.3,6361.7,6961.7,,9435,8545,
585,7926.7,7803.3,7703.3,6023.3,6366.7,6966.7,,9440,8550,
586,7931.7,7808.3,7705,6028.3,6371.7,6970,,9440,8550,
587,7935,7811.7,7710,6033.3,6376.7,6975,,9445,8555,
588,7940,7816.7,7715,6036.7,6381.7,6980,,9445,8560,
589,7945,7820,7716.7,6041.7,6386.7,6985,,9450,8560,
590,7948.3,7823.3,7721.7,6046.7,6391.7,6990,,9450,8565,
591,7951.7,7826.7,7725,6051.7,6396.7,6995,,9455,8570,
592,7956.7,7831.7,7730,6056.7,6401.7,6998.3,,9460,8575,
593,7960,7836.7,7733.3,6061.7,6408.3,7003.3,,9460,8575,
594,7965,7838.3,7736.7,6066.7,6411.7,7008.3,,9465,8580,
595,7968.3,7841.7,7740,6071.7,6416.7,7013.3,,9465,8585,
596,7973.3,7846.7,7743.3,6076.7,6421.7,7015,,9470,8590,
597,7978.3,7851.7,7748.3,6081.7,6426.7,7020,,9470,8590,
598,7980,7853.3,7751.7,6086.7,6431.7,7025,,9475,8595,
599,7983.3,7856.7,7756.7,6091.7,6436.7,7030,,9480,8600,
600,7986.7,7861.7,7758.3,6096.7,6441.7,7033.3,,9480,8600,
601,7991.7,7865,7761.7,6101.7,6446.7,7038.3,,9485,8605,
602,7996.7,7870,7766.7,6106.7,6451.7,7041.7,,9485,8610,
603,8000,7873.3,7771.7,6111.7,6456.7,7046.7,,9490,8610,
604,8005,7876.7,7773.3,6115,6461.7,7051.7,,9490,8615,
605,8008.3,7880,7776.7,6120,6466.7,7056.7,,9495,8620,
606,8010,7885,7781.7,6125,6471.7,7060,,9495,8620,
607,8015,7888.3,7785,6130,6476.7,7063.3,,9500,8625,
608,8018.3,7890,7790,6135,6481.7,7068.3,,9500,8630,
609,8023.3,7895,7791.7,6140,6486.7,7073.3,,9505,8630,
610,8026.7,7898.3,7795,6145,6491.7,7078.3,,9505,8635,
611,8031.7,7901.7,7800,6150,6496.7,7083.3,,9510,8640,
612,8035,7905,7801.7,6155,6500,7085,,9510,8640,
613,8038.3,7910,7806.7,6160,6506.7,7090,,9515,8645,
614,8040,7913.3,7810,6165,6511.7,7095,,9515,8650,
615,8045,7916.7,7815,6170,6515,7100,,9520,8650,
616,8050,7920,7816.7,6175,6521.7,7103.3,,9520,8655,
617,8053.3,7923.3,7820,6180,6526.7,7106.7,,9525,8660,
618,8056.7,7928.3,7825,6183.3,6528.3,7111.7,,9525,8660,
619,8060,7930,7828.3,6188.3,6533.3,7116.7,,9530,8665,
620,8065,7933.3,7830,6191.7,6538.3,7120,,9530,8670,
621,8066.7,7938.3,7835,6196.7,6543.3,7125,,9535,8670,
622,8071.7,7941.7,7838.3,6201.7,6548.3,7128.3,,9535,8675,
623,8075,7943.3,7841.7,6206.7,6553.3,7133.3,,9540,8675,
624,8078.3,7948.3,7845,6211.7,6558.3,7138.3,,9540,8680,
625,8083.3,7951.7,7848.3,6216.7,6563.3,7140,,9545,8685,
626,8086.7,7955,7851.7,6221.7,6568.3,7145,,9545,8685,
627,8090,7958.3,7855,6225,6573.3,7150,,9550,8690,
628,8093.3,7961.7,7858.3,6230,6576.7,7155,,9550,8695,
629,8096.7,7965,7861.7,6235,6581.7,7158.3,,9555,8695,
630,8100,7968.3,7866.7,6240,6586.7,7161.7,,9555,8700,
631,8105,7971.7,7868.3,6245,6591.7,7165,,9560,8700,
632,8108.3,7976.7,7871.7,6250,6596.7,7168.3,,9560,8705,
633,8110,7978.3,7876.7,6253.3,6600,7173.3,,9560,8710,
634,8113.3,7981.7,7878.3,6256.7,6605,7178.3,,9565,8710,
635,8118.3,7986.7,7881.7,6260,6610,7183.3,,9565,8715,
636,8121.7,7988.3,7886.7,6265,6615,7186.7,,9570,8720,
637,8205,7991.7,7888.3,6270,6620,7191.7,,9570,8720,
638,7817.5,7996.7,7891.7,6275,6625,7195,,9575,8725,
639,7822.5,7998.3,7896.7,6280,6628.3,7198.3,,9575,8725,
640,7827.5,8001.7,7898.3,6285,6635,7201.7,,9580,8730,
641,7832.5,8005,7901.7,6290,6636.7,7206.7,,9580,8735,
642,7835,8008.3,7906.7,6293.3,6641.7,7211.7,,9580,8735,
643,7837.5,8011.7,7908.3,6298.3,6645,7213.3,,9585,8740,
644,7842.5,8015,7911.7,6303.3,6650,7216.7,,9585,8740,
645,7847.5,8020,7915,6306.7,6655,7221.7,,9590,8745,
646,7850,8021.7,7918.3,6311.7,6660,7226.7,,9590,8745,
647,7855,8025,7921.7,6315,6665,7230,,9595,8750,
648,7857.5,8030,7925,6320,6670,7235,,9595,8755,
649,7862.5,8030,7928.3,6323.3,6675,7240,,9595,8755,
650,7865,8035,7931.7,6328.3,6678.3,7240,,9600,8760,
651,7870,8038.3,7933.3,6333.3,6683.3,7245,,9600,8760,
652,7875,8040,7938.3,6338.3,6688.3,7250,,9605,8765,
653,7877.5,8045,7941.7,6341.7,6693.3,7255,,9605,8765,
654,7880,8048.3,7943.3,6346.7,6695,7258.3,,9610,8770,
655,7885,8050,7948.3,6351.7,6700,7263.3,,9610,8770,
656,7890,8053.3,7950,6355,6705,7265,,9610,8775,
657,7892.5,8056.7,7953.3,6360,6710,7268.3,,9615,8775,
658,7895,8060,7958.3,6365,6713.3,7273.3,,9615,8780,
659,7900,8063.3,7958.3,6368.3,6718.3,7278.3,,9620,8780,
660,7905,8066.7,7963.3,6373.3,6723.3,7281.7,,9620,8785,
661,7907.5,8068.3,7966.7,6376.7,6728.3,7283.3,,9620,8790,
662,7910,8073.3,7968.3,6380,6733.3,7288.3,,9625,8790,
663,7915,8076.7,7973.3,6385,6736.7,7291.7,,9625,8795,
664,7920,8078.3,7975,6390,6741.7,7296.7,,9630,8795,
665,7920,8083.3,7978.3,6395,6743.3,7300,,9630,8800,
666,7925,8083.3,7981.7,6400,6748.3,7301.7,,9630,8800,
667,7930,8088.3,7983.3,6403.3,6753.3,7306.7,,9635,8805,
668,7935,8090,7988.3,6406.7,6758.3,7311.7,,9635,8805,
669,7935,8093.3,7990,6410,6763.3,7315,,9635,8810,
670,7940,8096.7,7993.3,6415,6768.3,7318.3,,9640,8810,
671,7945,8100,7996.7,6420,6771.7,7321.7,,9640,8815,
672,7947.5,8103.3,8000,6423.3,6775,7325,,9640,8815,
673,7950,8106.7,8001.7,6428.3,6780,7330,,9645,8820,
674,7955,8108.3,8005,6433.3,6785,7335,,9645,8820,
675,7957.5,8111.7,8010,6436.7,6788.3,7335,,9650,8825,
676,7960,8115,8011.7,6441.7,6793.3,7340,,9650,8825,
677,7965,8116.7,8015,6445,6798.3,7345,,9650,8830,
678,7967.5,8121.7,8016.7,6448.3,6801.7,7348.3,,9655,8830,
679,7972.5,8121.7,8020,6453.3,6805,7350,,9655,8835,
680,7975,8126.7,8023.3,6458.3,6810,7355,,9655,8835,
681,7980,8128.3,8025,6461.7,6815,7358.3,,9660,8840,
682,7982.5,8131.7,8030,6465,6820,7363.3,,9660,8840,
683,7985,8136.7,8033.3,6470,6823.3,7366.7,,9660,8845,
684,7990,8138.3,8035,6475,6826.7,7368.3,,9665,8845,
685,7992.5,8141.7,8038.3,6478.3,6831.7,7373.3,,9665,8850,
686,7997.5,8143.3,8040,6481.7,6835,7376.7,,9665,8850,
687,8000,8146.7,8043.3,6485,6840,7381.7,,9670,8855,
688,8002.5,8150,8046.7,6490,6845,7383.3,,9670,8855,
689,8007.5,8153.3,8048.3,6495,6848.3,7386.7,,9670,8855,
690,8010,8155,8053.3,6500,6853.3,7391.7,,9670,8860,
691,8012.5,8158.3,8055,6503.3,6856.7,7395,,9675,8860,
692,8017.5,8160,8058.3,6505,6860,7396.7,,9675,8865,
693,8022.5,8165,8061.7,6510,6865,7401.7,,9675,8865,
694,8022.5,8166.7,8063.3,6515,6868.3,7405,,9675,8870,
695,8027.5,8170,8066.7,6520,6873.3,7408.3,,9675,8870,
696,8032.5,8171.7,8068.3,6523.3,6878.3,7411.7,,9675,8875,
697,8032.5,8175,8071.7,6526.7,6881.7,7415,,9675,8875,
698,8037.5,8176.7,8075,6530,6885,7420,,9675,8880,
699,8040,8180,8078.3,6535,6888.3,7420,,9675,8880,
700,8042.5,8183.3,8080,6540,6893.3,7425,,9675,8880,
701,8047.5,8185,8083.3,6543.3,6898.3,7430,,9675,8885,
702,8050,8188.3,8085,6546.7,6903.3,7433.3,,9675,8885,
703,8052.5,8191.7,8090,6551.7,6906.7,7435,,9675,8890,
704,8057.5,8193.3,8091.7,6555,6908.3,7438.3,,9675,8890,
705,8060,8196.7,8095,6558.3,6913.3,7443.3,,9675,8895,
706,8062.5,8198.3,8096.7,6563.3,6918.3,7446.7,,9675,8895,
707,8067.5,8201.7,8100,6566.7,6923.3,7448.3,,9675,8895,
708,8070,8203.3,8101.7,6571.7,6928.3,7453.3,,9675,8900,
