Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
82,2436.7,2418.3,2421.7,1460,1596.7,1923.3,4053.3,3375,2685,6641.7
83,2461.7,2441.7,2446.7,1475,1615,1943.3,4091.7,3410,2710,6695
84,2485,2466.7,2470,1491.7,1630,1963.3,4131.7,3440,2735,6745
85,2510,2490,2495,1506.7,1646.7,1983.3,4168.3,3470,2765,6798.3
86,2533.3,2515,2518.3,1521.7,1665,2005,4206.7,3500,2790,6846.7
87,2558.3,2538.3,2541.7,1538.3,1681.7,2025,4245,3535,2815,6896.7
88,2581.7,2563.3,2566.7,1551.7,1698.3,2043.3,4283.3,3565,2845,6945
89,2606.7,2586.7,2588.3,1566.7,1713.3,2061.7,4320,3595,2870,6995
90,2630,2610,2611.7,1583.3,1731.7,2081.7,4358.3,3625,2895,7041.7
91,2653.3,2635,2636.7,1598.3,1748.3,2103.3,4395,3655,2920,7090
92,2676.7,2656.7,2658.3,1613.3,1765,2121.7,4431.7,3690,2945,7135
93,2700,2680,2683.3,1626.7,1780,2141.7,4468.3,3720,2970,7181.7
94,2725,2703.3,2703.3,1643.3,1796.7,2160,4505,3750,3000,7226.7
95,2746.7,2726.7,2728.3,1658.3,1811.7,2180,4541.7,3780,3025,7273.3
96,2770,2750,2750,1673.3,1830,2198.3,4576.7,3810,3050,7316.7
97,2793.3,2773.3,2775,1688.3,1846.7,2218.3,4613.3,3835,3075,7360
98,2815,2795,2795,1703.3,1863.3,2236.7,4648.3,3865,3100,7405
99,2838.3,2818.3,2820,1718.3,1878.3,2255,4685,3895,3125,7446.7
100,2860,2841.7,2840,1733.3,1893.3,2275,4720,3925,3150,7488.3
101,2883.3,2865,2863.3,1748.3,1910,2293.3,4755,3955,3175,7530
102,2905,2886.7,2886.7,1763.3,1925,2311.7,4790,3985,3200,7570
103,2928.3,2910,2906.7,1778.3,1941.7,2330,4823.3,4015,3225,7611.7
104,2950,2931.7,2930,1793.3,1956.7,2350,4858.3,4040,3245,7651.7
105,2971.7,2953.3,2951.7,1808.3,1971.7,2366.7,4893.3,4070,3270,7690
106,2995,2976.7,2973.3,1821.7,1990,2386.7,4926.7,4100,3295,7728.3
107,3016.7,2998.3,2995,1836.7,2006.7,2405,4961.7,4125,3320,7766.7
108,3038.3,3020,3016.7,1850,2021.7,2423.3,4993.3,4155,3345,7805
109,3060,3043.3,3038.3,1865,2038.3,2440,5028.3,4185,3370,7841.7
110,3081.7,3063.3,3060,1880,2053.3,2458.3,5061.7,4210,3390,7878.3
111,3103.3,3085,3081.7,1895,2068.3,2476.7,5093.3,4240,3415,7913.3
112,3125,3108.3,3101.7,1910,2085,2495,5128.3,4265,3440,7950
113,3146.7,3130,3123.3,1923.3,2100,2513.3,5160,4295,3465,7985
114,3166.7,3150,3143.3,1938.3,2115,2530,5191.7,4320,3485,8018.3
115,3188.3,3171.7,3165,1951.7,2130,2548.3,5225,4350,3510,8053.3
116,3210,3193.3,3186.7,1965,2146.7,2566.7,5256.7,4375,3535,8086.7
117,3231.7,3213.3,3208.3,1980,2160,2583.3,5290,4400,3555,8120
118,3253.3,3235,3228.3,1995,2175,2603.3,5323.3,4430,3580,8151.7
119,3273.3,3256.7,3248.3,2008.3,2190,2618.3,5355,4455,3600,8185
120,3293.3,3276.7,3270,2023.3,2205,2636.7,5385,4480,3625,8215
121,3315,3296.7,3290,2036.7,2220,2655,5416.7,4510,3645,8246.7
122,3336.7,3318.3,3310,2050,2235,2670,5448.3,4535,3670,8278.3
123,3356.7,3338.3,3330,2065,2250,2690,5478.3,4560,3690,8306.7
124,3376.7,3360,3350,2080,2265,2706.7,5510,4585,3715,8338.3
125,3398.3,3380,3370,2091.7,2281.7,2721.7,5538.3,4615,3735,8368.3
126,3418.3,3401.7,3390,2106.7,2296.7,2740,5571.7,4640,3760,8396.7
127,3438.3,3421.7,3411.7,2120,2310,2756.7,5601.7,4665,3780,8425
128,3458.3,3441.7,3431.7,2135,2325,2773.3,5631.7,4690,3805,8455
129,3478.3,3461.7,3450,2146.7,2340,2793.3,5661.7,4715,3825,8480
130,3496.7,3480,3468.3,2161.7,2353.3,2808.3,5690,4740,3850,8506.7
131,3518.3,3500,3488.3,2176.7,2368.3,2825,5720,4765,3870,8535
132,3538.3,3520,3508.3,2188.3,2385,2841.7,5750,4790,3890,8560
133,3558.3,3540,3528.3,2203.3,2398.3,2860,5778.3,4815,3915,8588.3
