elapsed time (min),D11,D12,D13,D21,D22,D23,D31,D32,D33
929,946,,965.3,865.7,861.7,904.7,,1032,
930,946.7,,965.3,865.7,862,905,,1032,
931,946.7,,965.3,866.7,862.3,905,,1032,
932,947,,966,866.7,862.7,905.3,,1032,
933,947,,966,866.7,863,906,,1032,
934,947.3,,966,867.7,863.3,906.3,,1032,
935,947.7,,966,867.7,864,906.3,,1032,
936,948,,966.7,868,864,906.7,,1032,
937,948,,966.7,868.7,864.3,907.3,,1032,
938,948,,966.7,869,864.7,907.7,,1032,
939,948.7,,967,869.3,865,908,,1032,
940,948.7,,967,870,865.7,908,,1032,
941,948.7,,967.3,870.3,866,909,,1032,
942,949,,967.7,870.7,866,909,,1032,
943,949.3,,967.7,870.7,866.3,909.3,,1032,
944,949.7,,968,871.3,866.7,909.7,,1032,
945,949.7,,968.3,871.7,867,909.7,,1032,
946,950,,968.3,872,867.7,910.7,,1032,
947,950,,968.3,872.3,868,910.7,,1032,
948,950.3,,968.3,872.7,868.3,911,,1032,
949,950.7,,968.7,873.3,868.7,911.3,,1032,
950,950.7,,969,873.3,868.7,911.7,,1032,
951,951,,968.7,874,869,912.3,,1032,
952,951,,951.5,874.3,869.3,912.3,,1032,
953,951.7,,952,874.7,869.7,912.3,,1032,
954,951.7,,952,874.7,870.3,913,,1032,
955,951.7,,952.5,875.7,870.7,913,,1032,
956,952,,953,875.7,870.7,913.7,,1032,
957,952.3,,953,875.7,871,914,,1032,
958,952.7,,953,876.7,871.3,914,,1032,
959,952.7,,953.5,876.7,871.7,914.7,,1032,
960,953,,954,877.3,871.7,915,,1032,
961,953,,954,877.7,872.3,915.3,,1032,
962,953.3,,954,877.7,872.7,915.7,,1032,
963,953.7,,954,878,873,916,,1032,
964,953.7,,955,878.7,873.3,916.3,,1032,
965,953.7,,955,879,873.7,916.7,,1032,
966,953.7,,955,879.3,874,917,,,
967,954.7,,955,879.7,874.3,917,,,
968,954.7,,955,880.3,874.7,917.3,,,
969,954.7,,955.5,880.3,875,917.7,,,
970,954.7,,956,880.3,875,918.3,,,
971,954.7,,956,881.3,875.3,918.7,,,
972,955,,956.5,881.3,876,918.7,,,
973,955.7,,956.5,881.3,876.3,919,,,
974,955.7,,957,882.3,876.7,919.7,,,
975,955.7,,957,882.3,876.7,919.7,,,
976,956,,957.5,883,877,920.3,,,
977,956.3,,957.5,883.3,877.3,920.3,,,
978,956.3,,957.5,883.3,877.7,920.3,,,
979,956.7,,957.5,883.7,878,921,,,
980,956.7,,958.5,884.3,878,921.3,,,
981,957,,958.5,885,878.3,921.7,,,
982,957,,958.5,885,878.7,922,,,
983,957.3,,959,885,879,922,,,
984,957.3,,959.5,886,879.3,922.7,,,
985,957.7,,959.5,886,879.3,923,,,
986,957.7,,959.5,886.3,880,923.3,,,
987,958.3,,959.5,886.7,880,923.3,,,
988,958.3,,959.5,887,880.7,923.7,,,
989,958.7,,960,887,881,924,,,
990,958.7,,960.5,887.7,880.7,924.7,,,
991,959,,961,888,881,924.7,,,
992,959.3,,961,888.3,881.3,925,,,
993,959.3,,961,888.3,881.7,925.3,,,
994,959.3,,961,889,882.3,925.7,,,
995,959.3,,961.5,889.3,882.3,926,,,
996,959.7,,962,889.7,883,926.3,,,
997,960.3,,962,890,883,926.7,,,
998,960,,962,890.3,883.7,926.7,,,
999,960.3,,962,890.3,883.7,927,,,
1000,960.3,,963,891,883.7,927,,,
